run,metadata_field,value,precision,recall,f1
BL-1_Qwen2.5-7B-Instruct,seniority,intern,0.8232,0.6522,0.7278
BL-1_Qwen2.5-7B-Instruct,seniority,junior,0.8577,0.6738,0.7547
BL-1_Qwen2.5-7B-Instruct,seniority,lead_manager,0.9579,0.6997,0.8087
BL-1_Qwen2.5-7B-Instruct,seniority,mid,0.9457,0.7916,0.8618
BL-1_Qwen2.5-7B-Instruct,seniority,senior,0.9366,0.7203,0.8143
BL-1_Qwen2.5-7B-Instruct,template_type,academic_research,0.83,0.6459,0.7265
BL-1_Qwen2.5-7B-Instruct,template_type,chronological,0.9242,0.7201,0.8095
BL-1_Qwen2.5-7B-Instruct,template_type,noisy_sparse_unusual,0.9448,0.7163,0.8148
BL-1_Qwen2.5-7B-Instruct,template_type,one_column_clean,0.9689,0.7345,0.8356
BL-1_Qwen2.5-7B-Instruct,template_type,project_heavy,0.9339,0.7102,0.8069
BL-1_Qwen2.5-7B-Instruct,template_type,skills_first,0.9144,0.7846,0.8446
BL-1_Qwen2.5-7B-Instruct,template_type,two_column_modern,0.918,0.7368,0.8175
BL-1_Qwen2.5-7B-Instruct,title_group,unknown,0.9265,0.734,0.8191
BL-2_Qwen2.5-7B-Instruct,cv_language,unknown,0.9065,0.7433,0.8168
BL-2_Qwen2.5-7B-Instruct,difficulty,easy,0.894,0.7299,0.8036
BL-2_Qwen2.5-7B-Instruct,difficulty,hard,0.9052,0.7065,0.7936
BL-2_Qwen2.5-7B-Instruct,difficulty,medium,0.9096,0.7543,0.8247
BL-2_Qwen2.5-7B-Instruct,file_format,docx,0.9129,0.7433,0.8194
BL-2_Qwen2.5-7B-Instruct,file_format,pdf,0.8935,0.7369,0.8076
BL-2_Qwen2.5-7B-Instruct,role_family,backend_fullstack_software,0.9717,0.7842,0.868
BL-2_Qwen2.5-7B-Instruct,role_family,cybersecurity_grc_privacy,0.8018,0.6327,0.7073
BL-2_Qwen2.5-7B-Instruct,role_family,data_bi_analytics,0.9426,0.746,0.8328
BL-2_Qwen2.5-7B-Instruct,role_family,devops_cloud_platform,0.8808,0.8237,0.8513
BL-2_Qwen2.5-7B-Instruct,role_family,education_academic_research,0.9732,0.7517,0.8482
BL-2_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.8827,0.6135,0.7238
BL-2_Qwen2.5-7B-Instruct,role_family,healthcare_lab_clinical_ops,0.8278,0.7801,0.8032
BL-2_Qwen2.5-7B-Instruct,role_family,hr_talent_peopleops,0.875,0.7353,0.7991
BL-2_Qwen2.5-7B-Instruct,role_family,legal_compliance_kvkk_gdpr,0.871,0.6459,0.7418
BL-2_Qwen2.5-7B-Instruct,role_family,marketing_growth_content,0.8902,0.7897,0.837
BL-2_Qwen2.5-7B-Instruct,role_family,ml_ai_mlops,0.9146,0.7329,0.8137
BL-2_Qwen2.5-7B-Instruct,role_family,operations_supply_logistics,0.9167,0.8643,0.8897
BL-2_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.952,0.7842,0.86
BL-2_Qwen2.5-7B-Instruct,role_family,sales_customer_success_crm,0.9119,0.7005,0.7923
BL-2_Qwen2.5-7B-Instruct,seniority,intern,0.8736,0.7343,0.7979
BL-2_Qwen2.5-7B-Instruct,seniority,junior,0.8637,0.6891,0.7666
BL-2_Qwen2.5-7B-Instruct,seniority,lead_manager,0.9505,0.7201,0.8194
BL-2_Qwen2.5-7B-Instruct,seniority,mid,0.9026,0.771,0.8316
BL-2_Qwen2.5-7B-Instruct,seniority,senior,0.8997,0.7365,0.81
BL-2_Qwen2.5-7B-Instruct,template_type,academic_research,0.8846,0.716,0.7914
BL-2_Qwen2.5-7B-Instruct,template_type,chronological,0.8983,0.7178,0.798
BL-2_Qwen2.5-7B-Instruct,template_type,noisy_sparse_unusual,0.8989,0.7442,0.8142
BL-2_Qwen2.5-7B-Instruct,template_type,one_column_clean,0.9452,0.7388,0.8293
BL-2_Qwen2.5-7B-Instruct,template_type,project_heavy,0.8817,0.7487,0.8098
BL-2_Qwen2.5-7B-Instruct,template_type,skills_first,0.9105,0.7813,0.841
BL-2_Qwen2.5-7B-Instruct,template_type,two_column_modern,0.886,0.7158,0.7918
BL-2_Qwen2.5-7B-Instruct,title_group,unknown,0.9065,0.7433,0.8168
SYS-A_Qwen2.5-7B-Instruct,cv_language,unknown,0.8423,0.7131,0.7723
SYS-A_Qwen2.5-7B-Instruct,difficulty,easy,0.8574,0.7058,0.7742
SYS-A_Qwen2.5-7B-Instruct,difficulty,hard,0.8387,0.7115,0.7698
SYS-A_Qwen2.5-7B-Instruct,difficulty,medium,0.829,0.7058,0.7624
SYS-A_Qwen2.5-7B-Instruct,file_format,docx,0.8343,0.711,0.7677
SYS-A_Qwen2.5-7B-Instruct,file_format,pdf,0.8471,0.7074,0.771
SYS-A_Qwen2.5-7B-Instruct,role_family,backend_fullstack_software,0.911,0.7544,0.8253
SYS-A_Qwen2.5-7B-Instruct,role_family,cybersecurity_grc_privacy,0.6909,0.6909,0.6909
SYS-A_Qwen2.5-7B-Instruct,role_family,data_bi_analytics,0.8915,0.7032,0.7862
SYS-A_Qwen2.5-7B-Instruct,role_family,devops_cloud_platform,0.8372,0.777,0.806
SYS-A_Qwen2.5-7B-Instruct,role_family,education_academic_research,0.955,0.731,0.8281
SYS-A_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.905,0.6418,0.751
SYS-A_Qwen2.5-7B-Instruct,role_family,healthcare_lab_clinical_ops,0.8528,0.7277,0.7853
SYS-A_Qwen2.5-7B-Instruct,role_family,hr_talent_peopleops,0.8182,0.6807,0.7431
SYS-A_Qwen2.5-7B-Instruct,role_family,legal_compliance_kvkk_gdpr,0.7976,0.6411,0.7109
SYS-A_Qwen2.5-7B-Instruct,role_family,marketing_growth_content,0.8024,0.6872,0.7403
SYS-A_Qwen2.5-7B-Instruct,role_family,ml_ai_mlops,0.8139,0.7264,0.7676
SYS-A_Qwen2.5-7B-Instruct,role_family,operations_supply_logistics,0.9297,0.85,0.8881
SYS-A_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.82,0.7374,0.7765
SYS-A_Qwen2.5-7B-Instruct,role_family,sales_customer_success_crm,0.7792,0.5797,0.6648
SYS-A_Qwen2.5-7B-Instruct,seniority,intern,0.6897,0.5797,0.6299
SYS-A_Qwen2.5-7B-Instruct,seniority,junior,0.7888,0.709,0.7468
SYS-A_Qwen2.5-7B-Instruct,seniority,lead_manager,0.8522,0.6792,0.7559
SYS-A_Qwen2.5-7B-Instruct,seniority,mid,0.834,0.741,0.7847
SYS-A_Qwen2.5-7B-Instruct,seniority,senior,0.9036,0.7057,0.7925
SYS-A_Qwen2.5-7B-Instruct,template_type,academic_research,0.8325,0.6187,0.7098
SYS-A_Qwen2.5-7B-Instruct,template_type,chronological,0.8481,0.6979,0.7657
SYS-A_Qwen2.5-7B-Instruct,template_type,noisy_sparse_unusual,0.7822,0.7349,0.7578
SYS-A_Qwen2.5-7B-Instruct,template_type,one_column_clean,0.8766,0.7152,0.7877
SYS-A_Qwen2.5-7B-Instruct,template_type,project_heavy,0.8503,0.7136,0.776
SYS-A_Qwen2.5-7B-Instruct,template_type,skills_first,0.843,0.7529,0.7954
SYS-A_Qwen2.5-7B-Instruct,template_type,two_column_modern,0.8063,0.6789,0.7371
SYS-A_Qwen2.5-7B-Instruct,title_group,unknown,0.8423,0.7131,0.7723
SYS-B_Qwen2.5-7B-Instruct,cv_language,unknown,0.8295,0.7675,0.7973
SYS-B_Qwen2.5-7B-Instruct,difficulty,easy,0.8117,0.7622,0.7862
SYS-B_Qwen2.5-7B-Instruct,difficulty,hard,0.7952,0.7423,0.7679
SYS-B_Qwen2.5-7B-Instruct,difficulty,medium,0.8472,0.7697,0.8066
SYS-B_Qwen2.5-7B-Instruct,file_format,docx,0.7985,0.7691,0.7835
SYS-B_Qwen2.5-7B-Instruct,file_format,pdf,0.8392,0.7585,0.7968
SYS-B_Qwen2.5-7B-Instruct,role_family,backend_fullstack_software,0.8182,0.7579,0.7869
SYS-B_Qwen2.5-7B-Instruct,role_family,cybersecurity_grc_privacy,0.7884,0.6909,0.7364
SYS-B_Qwen2.5-7B-Instruct,role_family,data_bi_analytics,0.8205,0.7701,0.7945
SYS-B_Qwen2.5-7B-Instruct,role_family,devops_cloud_platform,0.7556,0.8453,0.798
SYS-B_Qwen2.5-7B-Instruct,role_family,education_academic_research,0.9333,0.7724,0.8453
SYS-B_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.8915,0.6702,0.7652
SYS-B_Qwen2.5-7B-Instruct,role_family,healthcare_lab_clinical_ops,0.7826,0.7539,0.768
SYS-B_Qwen2.5-7B-Instruct,role_family,hr_talent_peopleops,0.8356,0.7689,0.8009
SYS-B_Qwen2.5-7B-Instruct,role_family,legal_compliance_kvkk_gdpr,0.7592,0.6938,0.725
SYS-B_Qwen2.5-7B-Instruct,role_family,marketing_growth_content,0.8779,0.7744,0.8229
SYS-B_Qwen2.5-7B-Instruct,role_family,ml_ai_mlops,0.8267,0.8078,0.8171
SYS-B_Qwen2.5-7B-Instruct,role_family,operations_supply_logistics,0.8768,0.8643,0.8705
SYS-B_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.8425,0.8273,0.8348
SYS-B_Qwen2.5-7B-Instruct,role_family,sales_customer_success_crm,0.9006,0.744,0.8148
SYS-B_Qwen2.5-7B-Instruct,seniority,intern,0.84,0.7101,0.7696
SYS-B_Qwen2.5-7B-Instruct,seniority,junior,0.8057,0.7366,0.7696
SYS-B_Qwen2.5-7B-Instruct,seniority,lead_manager,0.8185,0.7235,0.7681
SYS-B_Qwen2.5-7B-Instruct,seniority,mid,0.8261,0.8027,0.8143
SYS-B_Qwen2.5-7B-Instruct,seniority,senior,0.8162,0.7596,0.7869
SYS-B_Qwen2.5-7B-Instruct,template_type,academic_research,0.8479,0.716,0.7764
SYS-B_Qwen2.5-7B-Instruct,template_type,chronological,0.8325,0.7508,0.7895
SYS-B_Qwen2.5-7B-Instruct,template_type,noisy_sparse_unusual,0.7619,0.7442,0.7529
SYS-B_Qwen2.5-7B-Instruct,template_type,one_column_clean,0.8726,0.7923,0.8305
SYS-B_Qwen2.5-7B-Instruct,template_type,project_heavy,0.7968,0.7621,0.7791
SYS-B_Qwen2.5-7B-Instruct,template_type,skills_first,0.7733,0.803,0.7879
SYS-B_Qwen2.5-7B-Instruct,template_type,two_column_modern,0.8239,0.7263,0.772
SYS-B_Qwen2.5-7B-Instruct,title_group,unknown,0.8295,0.7675,0.7973
